Model,Accuracy,Precision,Recall,F1,ROC_AUC
Random Forest,0.916,0.8885429638854296,0.9513333333333334,0.9188667095943336,0.9550408888888889
MLP (Keras),0.9133333333333333,0.8879849812265331,0.946,0.9160748870238864,0.9566064444444443
XGBoost,0.9133333333333333,0.8884711779448622,0.9453333333333334,0.9160206718346253,0.9569282222222223
Decision Tree,0.9123333333333333,0.8907138344914719,0.94,0.9146934803762569,0.9455137777777777
Logistic Regression,0.9093333333333333,0.8976683937823834,0.924,0.9106438896189225,0.9562444444444443
